觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2018/7/31,3017,奇鋐,23.34297752,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.80831718,70.2% (2019-07-24),-27.42% $$2018-10-25$$,V轉選股,23.13,,23.33,,,,23.38,3.36%,0.32%,0.69%,,,,,,,,,,,
2017/12/5,1102,亞泥,15.73878288,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.59169197,70.09% (2018-08-27),-1.5% $$2017-12-11$$,V轉選股,15.87,,15.88,,,,15.94,0.82%,0.19%,0.18%,,,,,,,,,,,
2018/8/6,3017,奇鋐,23.38336372,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",22.01024628,69.91% (2019-07-24),-27.55% $$2018-10-25$$,V轉選股,23.33,,23.37,,,,23.42,1.73%,0.82%,0.76%,,,,,,,,,,,
2017/12/4,1102,亞泥,15.79761887,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.59169197,69.46% (2018-08-27),-1.86% $$2017-12-11$$,V轉選股,15.84,,15.88,,,,15.94,0.34%,0.29%,0.21%,,,,,,,,,,,
2021/4/20,2383,台光電,151.8873138,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",144.5309601,69.16% (2022-02-23),-14.53% $$2021-05-12$$,右側突破策略,147.47,146.43,142.97,3.72%,5.91%,上,,,,,,,,,,,,,,,
2021/1/6,6669,緯穎,573.996582,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",565.6657715,68.82% (2021-12-27),-0.87% $$2021-01-07$$,V轉選股,580.99,,588.92,,,,606.9,0.46%,0.41%,0.91%,,,,,,,,,,,
2018/8/10,3017,奇鋐,23.54490852,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",22.05063057,68.74% (2019-07-24),-28.04% $$2018-10-25$$,V轉選股,23.39,,23.43,,,,23.48,0.59%,1.15%,0.89%,,,,,,,,,,,
2020/4/30,3406,玉晶光,409.1271362,第一型：短線強勢動能與均線交叉發散?可買進,363.2004395,68.49% $$2020-07-09$$,-5.81% (2021-01-20),右側突破策略,383.43,380.14,392.53,7.63%,19.18%,上,,,,,,,,,,,,,,,
2019/12/12,3653,健策,166.3418732,第一型：短線強勢動能與均線交叉發散?可買進,152.3427887,68.43% (2020-10-13),-38.12% $$2020-03-23$$,右側突破策略,158.44,156.89,135.59,6.02%,16.80%,上,,,,,,,,,,,,,,,
2018/8/1,3017,奇鋐,23.66606331,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.80831718,67.88% (2019-07-24),-28.41% $$2018-10-25$$,V轉選股,23.34,,23.35,,,,23.39,4.48%,0.45%,0.70%,,,,,,,,,,,
2021/1/5,6669,緯穎,578.1619873,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",565.6657715,67.6% (2021-12-27),-1.59% $$2021-01-07$$,V轉選股,580.99,,589.44,,,,606.84,0.55%,0.54%,0.95%,,,,,,,,,,,
